Name,Price,Location,Type,Foundation,Misc,Bedrooms,Lofts,Bathrooms,Size,Length,Width,Days on site,Number of views,Times dreamlisted,Link
30 foot tiny house trailer,2500,"Taylors, South Carolina, United States",Tiny House Trailer,Mobile,Square Feet,0,0,0,252,29.66,8.5,333.0,0,63,https://tinyhouselistings.com/listings/30-foot-tiny-house-trailer
Gooseneck Tiny Home Trailer,8000,"Lebanon , Connecticut, United States",Tiny House Trailer,Mobile,New,0,0,0,248,31.0,8.0,,0,40,https://tinyhouselistings.com/listings/gooseneck-tiny-home-trailer
Tiny Cabin,45000,"Vanceburg, Kentucky, United States",Cabin,Mobile,Used,1,1,1,336,28.0,12.0,,0,118,https://tinyhouselistings.com/listings/tiny-cabin-cabin-stationary
28 Ft. of Tiny Home Living,40000,"Panama City Beach, Florida, United States",Tiny House,Mobile,New,2,2,1,330,28.0,8.0,,0,154,https://tinyhouselistings.com/listings/28-ft-of-tiny-home-living-tiny_house
Beautiful 12x36 deluxe cabin!,50000,"Mulhall, Oklahoma, United States",Cabin,Mobile,Used,0,2,1,432,36.0,12.0,,0,17,https://tinyhouselistings.com/listings/beautiful-12x36-deluxe-cabin
Tiny house that slides out,40000,"Gilroy, California, United States",Tiny House,Mobile,Used,1,1,1,307,20.0,16.0,,2257,140,https://tinyhouselistings.com/listings/tiny-house-that-slides-out
Customizable Blue Tiny Home Shell For Sale,18000,"Saint Louis, Missouri, United States",Tiny House Shell,Mobile,Delivery Available,0,1,0,240,8.5,28.0,,4047,180,https://tinyhouselistings.com/listings/beautiful-blue-tiny-home-shell-for-sale
"Live Near Greenville, SC - Walk to Restaurants, Shops, Farmers Markets, and more!",450,"Travelers Rest, South Carolina, United States",Park Model,Mobile,New,1,1,1,399,43.0,11.5,,5154,313,https://tinyhouselistings.com/listings/live-near-greenville-sc-walk-to-restaurants-shops-farmers-markets-and-more
"All New 320 Sq Ft. Amazing Home, built by Pro's",48885,"Oxnard, California, United States",Tiny House,Mobile,Delivery Available,1,0,1,320,40.0,8.0,,43378,147,https://tinyhouselistings.com/listings/all-new-320-sq-ft-amazing-home-built-by-pro-s
Big bear,4500,"Birmingham, Alabama, United States",Tiny House Shell,Mobile,Square Feet,2,0,1,330,42.0,8.0,,0,229,https://tinyhouselistings.com/listings/big-bear
8x26 House on Trailer for Sale,45000,"nashville, Tennessee, United States",Tiny House,Mobile,Used,0,2,1,208,8.0,26.0,,44416,225,https://tinyhouselistings.com/listings/new-8x26-house-on-trailer
Shipping Conatiner Home,40900,"Kerrville, Texas, United States",Tiny House,Mobile,Delivery Available,1,0,1,320,40.0,8.0,,69720,244,https://tinyhouselistings.com/listings/shipping-conatiner-home
